TMDb ID,IMDb ID,Type,Name,Release Date,Season Number,Episode Number,Rating,Your Rating,Date Rated
1584,tt0332379,movie,School of Rock,2003-10-03T00:00:00Z,,,7.083,,2025-03-04T11:51:12Z
225886,tt1956620,movie,Sex Tape,2014-07-17T00:00:00Z,,,5.409,,2025-03-04T11:51:30Z
9655,tt0454945,movie,She's the Man,2006-03-17T00:00:00Z,,,6.813,,2025-03-04T11:51:48Z
19885,tt1475582,tv,Sherlock,2010-07-25T00:00:00Z,,,8.512,,2025-03-04T11:52:12Z
10528,tt0988045,movie,Sherlock Holmes,2009-12-23T00:00:00Z,,,7.216,,2025-03-04T11:52:27Z
2605,tt0091949,movie,Short Circuit,1986-05-09T00:00:00Z,,,6.641,,2025-03-04T11:52:39Z
11966,tt0096101,movie,Short Circuit 2,1988-07-06T00:00:00Z,,,6.207,,2025-03-04T11:52:45Z
6068,tt0120828,movie,Six Days Seven Nights,1998-06-12T00:00:00Z,,,6.098,,2025-03-04T11:52:56Z
97645,tt8910922,tv,Solar Opposites,2020-05-08T00:00:00Z,,,7.789,,2025-03-04T11:53:08Z
508442,tt2948372,movie,Soul,2020-12-25T00:00:00Z,,,8.097,,2025-03-04T11:53:21Z
2190,tt0121955,tv,South Park,1997-08-13T00:00:00Z,,,8.337,,2025-03-04T11:53:33Z
1637,tt0111257,movie,Speed,1994-06-09T00:00:00Z,,,7.147,,2025-03-04T11:53:45Z
557,tt0145487,movie,Spider-Man,2002-05-01T00:00:00Z,,,7.321,,2025-03-04T11:54:03Z
2619,tt0088161,movie,Splash,1984-03-09T00:00:00Z,,,6.256,,2025-03-04T11:54:15Z
387,tt0206512,tv,SpongeBob SquarePants,1999-05-01T00:00:00Z,,,7.696,,2025-03-04T11:54:33Z
563,tt0120201,movie,Starship Troopers,1997-11-07T00:00:00Z,,,7.094,,2025-03-04T11:54:44Z
521007,tt7178640,movie,Superintelligence,2020-12-11T00:00:00Z,,,5.978,,2025-03-04T11:54:58Z
15566,tt0252028,movie,Surviving Christmas,2004-09-21T00:00:00Z,,,5.721,,2025-03-04T11:55:09Z
10760,tt0815244,movie,Sydney White,2007-09-21T00:00:00Z,,,6.478,,2025-03-04T11:55:20Z
38757,tt0398286,movie,Tangled,2010-11-24T00:00:00Z,,,7.609,,2025-03-04T11:55:32Z
